city_town,ward,precinct,Biden/ Harris,Trump/ Pence,Jorgensen/ Cohen,Hawkins/ Walker,All Others,No Preference,Blanks,Total Votes Cast
Boston,14,2,1479,104,3,5,4,0,10,1605
Boston,14,3,715,44,5,3,1,0,7,775
Boston,14,4,829,59,5,5,5,0,0,903
Boston,14,5,702,23,2,1,2,0,2,732
Boston,14,6,649,50,3,5,3,0,0,710
Boston,14,7,657,47,5,2,1,0,1,713
Boston,14,8,797,33,7,5,3,0,2,847
Boston,14,9,739,48,1,5,4,0,6,803
Boston,14,10,816,71,2,2,2,0,1,894
Boston,14,11,772,43,4,3,3,0,8,833
Boston,14,12,450,19,2,6,2,0,2,481
Boston,14,13,640,31,4,5,0,0,5,685
Boston,14,14,773,28,4,1,2,0,2,810
Boston,15,1,908,78,4,1,3,0,4,998
Boston,15,2,618,47,1,3,0,0,7,676
Boston,15,3,363,45,4,1,0,0,1,414
Boston,15,4,1029,205,7,5,8,0,10,1264
Boston,15,5,754,76,7,2,2,0,3,844
Boston,15,6,315,221,2,5,2,0,3,548
Boston,15,7,615,57,4,3,1,0,3,683
Boston,15,8,482,171,5,1,2,0,4,665
Boston,15,9,499,153,5,5,2,0,2,666
Boston,16,1,556,218,6,1,4,0,6,791
Boston,16,2,479,213,12,4,7,0,2,717
Boston,16,3,800,211,7,7,3,0,3,1031
Boston,16,4,752,200,8,0,3,0,5,968
Boston,16,5,788,255,5,3,3,0,5,1059
Boston,16,6,1021,297,9,11,9,0,11,1358
Boston,16,7,647,329,12,7,11,0,4,1010
Boston,16,8,828,290,14,7,9,0,8,1156
Boston,16,9,698,512,16,3,6,0,8,1243
Boston,16,10,657,397,14,7,7,0,7,1089
Boston,16,11,761,364,9,6,5,0,6,1151
Boston,16,12,524,497,8,4,8,0,4,1045
Boston,17,1,679,56,3,2,1,0,0,741
Boston,17,2,530,65,2,6,0,0,3,606
Boston,17,3,1172,91,7,4,11,0,7,1292
Boston,17,4,1317,183,11,5,8,0,10,1534
Boston,17,5,552,31,1,4,0,0,2,590
Boston,17,6,864,74,6,2,3,0,1,950
Boston,17,7,467,27,0,0,4,0,1,499
Boston,17,8,773,53,5,5,1,0,3,840
Boston,17,9,657,49,6,4,4,0,4,724
Boston,17,10,1002,63,2,5,2,0,5,1079
Boston,17,11,416,22,4,5,1,0,3,451
Boston,17,12,676,54,2,2,1,0,4,739
Boston,17,13,826,187,13,3,5,0,7,1041
Boston,17,14,853,127,10,4,4,0,2,1000
Boston,18,1,1305,81,2,6,3,0,2,1399
Boston,18,2,984,37,1,7,2,0,4,1035
Boston,18,3,1119,35,0,2,2,0,7,1165
Boston,18,4,1161,67,5,2,1,0,3,1239
Boston,18,5,1203,57,5,5,2,0,5,1277
Boston,18,6,1437,54,5,5,3,0,7,1511
Boston,18,7,1029,136,7,2,3,0,3,1180
Boston,18,8,1746,197,8,4,2,0,8,1965
Boston,18,9,963,191,6,7,7,0,4,1178
Boston,18,10,1517,244,5,9,14,0,14,1803
Boston,18,11,865,108,8,0,10,0,12,1003
Boston,18,12,987,194,6,6,3,0,1,1197
Boston,18,13,621,86,1,2,2,0,3,715
Boston,18,14,671,83,9,5,3,0,2,773
Boston,18,15,1068,84,4,2,2,0,4,1164
Boston,18,16,982,334,10,8,6,0,9,1349
Boston,18,17,983,200,10,5,5,0,8,1211
Boston,18,18,1233,242,8,5,8,0,6,1502
Boston,18,19,1671,301,8,8,10,0,15,2013
Boston,18,20,1158,437,19,8,6,0,8,1636
Boston,18,21,1311,59,4,6,5,0,5,1390
Boston,18,22,1031,330,12,9,8,0,9,1399
Boston,18,23,885,112,4,3,4,0,7,1015
Boston,19,1,1036,40,12,10,4,0,0,1102
Boston,19,2,1095,216,10,4,17,0,13,1355
Boston,19,3,895,56,7,3,6,0,1,968
Boston,19,4,1262,29,6,12,6,0,5,1320
Boston,19,5,1007,76,6,8,3,0,4,1104
Boston,19,6,1446,54,4,9,5,0,5,1523
Boston,19,7,1375,94,11,13,6,0,6,1505
Boston,19,8,692,36,6,2,7,0,2,745
Boston,19,9,674,43,5,6,5,0,1,734
Boston,19,10,1214,161,5,3,4,0,8,1395
Boston,19,11,1033,112,9,5,2,0,7,1168
Boston,19,12,864,110,2,4,1,0,4,985
Boston,19,13,732,105,4,6,5,0,2,854
Boston,20,1,1011,235,12,4,9,0,9,1280
Boston,20,2,1113,208,8,9,5,0,4,1347
Boston,20,3,926,382,13,13,5,0,2,1341
Boston,20,4,991,116,4,9,3,0,2,1125
Boston,20,5,927,401,8,3,5,0,11,1355
Boston,20,6,1056,342,20,10,9,0,12,1449
Boston,20,7,678,185,14,7,6,0,4,894
Boston,20,8,801,187,9,6,3,0,0,1006
Boston,20,9,865,227,3,9,5,0,6,1115
Boston,20,10,1118,487,18,5,11,0,12,1651
Boston,20,11,560,173,5,7,4,0,1,750
Boston,20,12,668,250,12,3,11,0,3,947
Boston,20,13,581,260,8,1,4,0,3,857
Boston,20,14,593,233,15,5,7,0,8,861
Boston,20,15,975,495,11,5,4,0,9,1499
Boston,20,16,962,551,27,7,12,0,14,1573
Boston,20,17,1167,536,19,5,5,0,11,1743
Boston,20,18,640,198,7,4,6,0,2,857
Boston,20,19,642,257,13,4,4,0,5,925
Boston,20,20,1079,381,8,7,7,0,7,1489
Boston,21,1,1248,93,12,7,8,0,3,1371
Boston,21,2,297,24,0,3,3,0,3,330
Boston,21,3,720,67,15,14,2,0,2,820
Boston,21,4,636,50,9,12,8,0,4,719
Boston,21,5,946,78,8,16,4,0,6,1058
Boston,21,6,715,73,6,13,6,0,0,813
Boston,21,7,930,109,11,10,7,0,4,1071
Boston,21,8,1180,94,11,11,16,0,10,1322
Boston,21,9,1158,148,11,13,7,0,8,1345
Boston,21,10,839,135,5,8,5,0,6,998
Boston,21,11,1153,123,13,6,14,0,4,1313
Boston,21,12,923,203,11,13,15,0,4,1169
Boston,21,13,1108,399,15,10,13,0,8,1553
Boston,21,14,681,73,7,10,5,0,4,780
Boston,21,15,828,73,9,14,7,0,3,934
Boston,21,16,1013,198,16,12,13,0,4,1256
Boston,22,1,1277,165,27,15,8,0,6,1498
Boston,22,2,1469,205,14,13,15,0,9,1725
Boston,22,3,1172,258,18,13,14,0,5,1480
Boston,22,4,913,159,20,9,5,0,6,1112
Boston,22,5,775,136,15,4,2,0,3,935
Boston,22,6,747,130,8,15,4,0,3,907
Boston,22,7,1051,151,17,12,8,0,4,1243
Boston,22,8,713,192,19,3,4,0,9,940
Boston,22,9,797,219,14,14,8,0,5,1057
Boston,22,10,991,169,14,8,10,0,8,1200
Boston,22,11,703,158,8,8,7,0,6,890
Boston,22,12,676,150,4,5,6,0,6,847
Boston,22,13,612,111,8,6,7,0,3,747
Bourne,-,1,879,825,37,8,5,0,12,1766
Bourne,-,2,1051,954,27,18,15,0,23,2088
Bourne,-,3,600,592,11,5,2,0,9,1219
Bourne,-,4,1137,878,19,7,10,0,11,2062
Bourne,-,5,1069,753,23,7,9,0,42,1903
Bourne,-,6,804,497,8,6,4,0,22,1341
Bourne,-,7,987,832,23,8,9,0,8,1867
Boxborough,-,1,2526,786,63,22,5,0,38,3440
Boxford,-,1,1010,755,31,10,11,0,10,1827
Boxford,-,2,1092,781,38,9,15,0,10,1945
Boxford,-,3,1015,735,24,4,13,0,19,1810
Boylston,-,1,1877,1318,70,15,24,0,17,3321
