office,district_id,district,legislator,party,city_town,percent,PVI,PVI_N
State Senate,58703,Hampden,Adam Gomez (D-Springfield),Democratic,Springfield,1,D+18,17.828746548560225
State Senate,58707,First Middlesex,Edward J. Kennedy (D-Lowell),Democratic,Lowell,0.6357897028409709,D+7,7.266316629349056
State Senate,58708,Second Middlesex,Patricia D. Jehlen (D-Somerville),Democratic,Somerville,1,D+33,32.50176308863265
State Senate,58709,Third Middlesex,Michael J. Barrett (D-Lexington),Democratic,Lexington,1,D+22,22.155391589982187
State Senate,58710,Fourth Middlesex,Cindy F. Friedman (D-Arlington),Democratic,Arlington,1,D+17,17.20513975219945
State Senate,58715,Middlesex and Worcester,James B. Eldridge (D-Marlborough),Democratic,Marlborough,1,D+21,21.443548298873104
State Senate,58718,Norfolk and Plymouth,John F. Keenan (D-Quincy),Democratic,Quincy,1,D+9,9.082035835637392
State Senate,58719,Plymouth and Barnstable,Dylan A. Fernandes (D-Falmouth),Democratic,Falmouth,0.5121328114174865,D+6,6.0986180739747375
State Senate,58723,First Suffolk,Nicholas P. Collins (D-Boston),Democratic,Boston,1,D+27,27.212056215154213
State Senate,58724,Second Suffolk,Liz Miranda (D-Boston),Democratic,Boston,1,D+40,40.2087692868763
State Senate,58728,First Worcester,Robyn K. Kennedy (D-Worcester),Democratic,Worcester,1,D+17,16.51094380074456
State Senate,58729,Second Worcester,Michael O. Moore (D-Millbury),Democratic,Millbury,1,D+12,11.567678489701482
State Senate,58731,Worcester and Middlesex,John J. Cronin (D-Fitchburg),Democratic,Fitchburg,0.5910417205920417,D+9,8.846797761372272
State Senate,64656,Middlesex and Suffolk,Sal N. DiDomenico (D-Everett),Democratic,Everett,1,D+31,30.82359925048955
State Senate,64661,Fifth Middlesex,Jason M. Lewis (D-Winchester),Democratic,Winchester,1,D+17,17.355988873109883
State Senate,64692,Hampden and Hampshire,John C. Velis (D-Westfield),Democratic,Westfield,1,D+6,5.5864423743640534
State Senate,64693,Middlesex and Norfolk,Karen E. Spilka (D-Ashland),Democratic,Ashland,1,D+21,21.1605689270696
State Senate,64702,Third Essex,Brendan Peter Crighton (D-Lynn),Democratic,Lynn,1,D+12,11.911769508162951
State Senate,64862,Norfolk and Suffolk,Michael F. Rush (D-Boston),Democratic,Boston,1,D+19,18.86430200238145
State Senate,64878,Suffolk and Middlesex,William N. Brownsberger (D-Belmont),Democratic,Belmont,1,D+33,32.56648583953291
State Senate,64948,Third Suffolk,Lydia Marie Edwards (D-Boston),Democratic,Boston,0.7021946741675229,D+20,20.071702724081295
State Senate,64949,"Hampshire, Franklin and Worcester",Jo Comerford (D-Northampton),Democratic,Northampton,1,D+23,22.661200817202452
State Senate,65020,"Berkshire, Hampden, Franklin and Hampshire",Paul W. Mark (D-Becket),Democratic,Becket,0.7094469074456082,D+18,18.186788229768613
State Senate,65021,Second Plymouth and Norfolk,Michael D. Brady (D-Brockton),Democratic,Brockton,1,D+14,13.552147878024511
State Senate,65022,Worcester and Hampshire,Peter J. Durant (R-Spencer),Republican,Spencer,0.5841712039727873,D+1,1.0676722896603486
State Senate,65023,"Hampden, Hampshire and Worcester",Jacob R. Oliveira (D-Ludlow),Democratic,Ludlow,1,D+5,4.932168934103808
State Senate,65024,"Norfolk, Worcester and Middlesex",Rebecca L. Rausch (D-Needham),Democratic,Needham,0.5890412366895531,D+13,12.964356385234389
State Senate,65025,Third Bristol and Plymouth,Kelly A. Dooner (R-Taunton),Republican,Taunton,0.48363989815215896,R+1,-0.7007936319190278
State Senate,65026,Worcester and Hampden,Ryan C. Fattman (R-Sutton),Republican,Sutton,0.6586679282126644,R+1,-1.3099412039348055
State Senate,65027,"Norfolk, Plymouth and Bristol","William J. Driscoll, Jr (D-Milton)",Democratic,Milton,1,D+12,11.658550094168165
State Senate,65028,Norfolk and Middlesex,Cynthia Stone Creem (D-Newton),Democratic,Newton,1,D+32,32.4504218278043
State Senate,65029,First Plymouth and Norfolk,Patrick A. O'Connor (R-Weymouth),Republican,Weymouth,1,D+10,10.275992493547248
Governor's Council,64603,First,Joseph C. Ferreira (D-Swansea),Democratic,Swansea,0.565693515964658,D+5,5.031921466265398
Governor's Council,64604,Second,Tamisha L. Civil (D-Stoughton),Democratic,Stoughton,0.5729079923310805,D+14,13.634628748448218
Governor's Council,64605,Third,Mara Dolan (D-Concord),Democratic,Concord,1,D+25,24.667141203761688
Governor's Council,64606,Fourth,"Christopher A. Iannella, Jr. (D-Boston)",Democratic,Boston,1,D+20,19.67748016859413
Governor's Council,64607,Fifth,Eunice Delice Zeigler (D-Methuen),Democratic,Methuen,0.47265755251750585,D+10,10.18103838710439
Governor's Council,64608,Sixth,Terrence W. Kennedy (D-Lynnfield),Democratic,Lynnfield,1,D+22,22.287634553879965
Governor's Council,64609,Seventh,Paul M. Depalo (D-Worcester),Democratic,Worcester,0.5739671079021259,D+6,6.386092810654754
Governor's Council,64610,Eighth,Tara J. Jacobs (D-North Adams),Democratic,North Adams,1,D+13,13.46386864998539
