State_Rep,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24,dem_pct_24,dem_pct_20,dem_pct_16,PVI_N,PVI,PVI_N_20,PVI_20,shift_20_24,pvi_shift
Second Norfolk,14597.113897248913,6854.808132422758,12204.698540443922,6350.372066736468,12352,7116,0.6344770906102322,0.6804571579674126,0.6577554350949751,15.082643882209112,D+15,15.247108577364699,D+15,-0.04598006735718041,-0.16446469515558704
Second Plymouth,12046.95127273479,11395.418047590643,9486.472926038548,10525.014406037939,11397,13045,0.46628753784469357,0.5138964883677359,0.4740513670282091,-1.8160239506206932,R+2,-2.1910205493101187,R+2,-0.04760895052304237,0.3749965986894255
Second Suffolk,14435.739073575025,3039.7836532178867,12182.597228207225,2854.19584438986,12034,3264,0.7866387763106288,0.8260547795484602,0.8101858667197249,29.99008954658202,D+30,30.125837098158392,D+30,-0.03941600323783134,-0.13574755157637242
Second Worcester,10939,9699,8381,8686,10216,10687,0.4887336745921638,0.5300416707045257,0.49106462764399134,0.1500603758008534,EVEN,-0.5058224964361591,R+1,-0.041307996112361856,0.6558828722370125
Seventeenth Essex,10055.524178715305,3878.801709297225,10298.550556793462,2973.1353232765446,7899,4762,0.6238843693231182,0.7216369316700069,0.7759790767997847,16.734542758407432,D+17,23.06891041657838,D+23,-0.09775256234688867,-6.334367658170947
Seventeenth Middlesex,10994.545941822127,5544.88194674485,9679.480915515403,4941.849295387335,9232,5697,0.6183937303235314,0.6647476572888112,0.66201096452207,13.50014857274784,D+14,14.600642829093868,D+15,-0.046353926965279846,-1.1004942563460283
Seventeenth Suffolk,16390.95317494806,2334.0679955485707,14804.351966220142,2056.5703074832395,13536,2326,0.8533602320010087,0.875350314731491,0.8780274130857773,35.751010141944384,D+36,35.91616356174991,D+36,-0.021990082730482308,-0.16515341980552734
Seventeenth Worcester,9286.723463043862,5063.810211178396,8685.509518657727,4013.1800877228916,7584,5239,0.5914372611713328,0.6471343626561794,0.683968959623486,11.309597892948153,D+11,14.696984107207456,D+15,-0.055697101484846634,-3.387386214259303
Seventh Bristol,6472.364025025436,5318.674844364852,6997.04127970753,4094.7254358882888,5431,5973,0.4762364082777973,0.5489222872318561,0.6308319908918737,0.543046406617187,D+1,7.116849495894817,D+7,-0.07268587895405881,-6.5738030892776305
Seventh Essex,18026.706455291842,5434.321741063169,14952.916806302204,5459.430110353901,16536,5967,0.7348353552859619,0.7683681339291232,0.7325427530384022,24.419589436019095,D+24,23.42430528074533,D+23,-0.03353277864316129,0.9952841552737652
Seventh Hampden,14767,10072,11775,9114,13778,10644,0.5641634591761526,0.59450863561335,0.5636938101393077,7.170917300545321,D+7,6.29750093101511,D+6,-0.030345176437197363,0.8734163695302115
Seventh Middlesex,17054.14127599203,6194.911904103689,13848.102290153081,5876.715216731918,15613,6384,0.7097786061735691,0.7335413250545895,0.7020649131643101,21.42334356628407,D+21,20.163667947854293,D+20,-0.023762718881020328,1.2596756184297782
Seventh Norfolk,18532.832921610287,5952.383012264371,15524.315036347887,5661.742946946316,16234,6151,0.7252177797632343,0.7568988965284392,0.7327609057139957,23.401282849064387,D+23,22.824461865332946,D+23,-0.03168111676520491,0.5768209837314409
Seventh Plymouth,12857.999999999998,11463,9933.999999999998,10953,11648,12544,0.48148148148148145,0.528678919452325,0.4756068367884329,-0.26123607103129,EVEN,-1.3298555045953564,R+1,-0.04719743797084358,1.0686194335640664
Seventh Suffolk,11588.40997096902,836.1198182978383,11826.522100723561,510.4286094331183,8635,1263,0.8723984643362296,0.93270410772244,0.9586260315514679,39.82087592771696,D+40,42.81621168529962,D+43,-0.06030564338621036,-2.9953357575826587
Seventh Worcester,13344.667151465315,11697.344745056804,10250.705862022947,10869.156951762378,12357,12468,0.4977643504531722,0.532891175302039,0.48535854386952376,0.7648883474973833,D+1,-0.6312943673993376,R+1,-0.03512682484886681,1.396182714896721
Sixteenth Essex,9428.066516647526,4529.225960113938,9301.205377385857,3533.200739598852,7287,5682,0.5618783252371039,0.6754939421341938,0.7247086692291038,11.301587396282475,D+11,18.16128575224687,D+18,-0.11361561689708988,-6.859698355964394
Sixteenth Middlesex,12534.63230689241,7063.971421882589,10452.555519611382,6718.810986272933,10057,7003,0.5895076201641266,0.6395676182017422,0.6087200757161337,10.851563140403385,D+11,10.770488064230221,D+11,-0.05005999803761563,0.081075076173164
