City/Town,Type,County,Registered Voters,"Per capita income","Median household income","Median family income",Population,"Number of households"
West Springfield,City,Hampden,16931,25937,51620,69828,28391,12124
West Stockbridge,Town,Berkshire,1079,35476,68750,83438,1306,593
West Tisbury,Town,Dukes,2332,36254,71667,91389,2740,1197
Westborough,Town,Worcester,11186,43265,96069,117392,18272,6924
Westfield,City,Hampden,23561,27274,51358,63887,41094,15335
Westford,Town,Middlesex,15642,47470,121168,130133,21951,7498
Westhampton,Town,Hampshire,1239,32324,81419,84205,1607,623
Westminster,Town,Worcester,5403,30576,79073,87806,7277,2716
Weston,Town,Middlesex,7949,89073,148512,178446,11261,3776
Westport,Town,Bristol,11436,33225,68713,79787,15532,6154
Westwood,Town,Norfolk,10400,56150,114250,149931,14618,5249
Weymouth,City,Norfolk,33897,34182,65849,82992,53743,22435
Whately,Town,Franklin,1125,33175,74018,79492,1496,626
Whitman,Town,Plymouth,9717,30082,76277,87012,14489,5300
Wilbraham,Town,Hampden,10301,37612,89336,103028,14219,5309
Williamsburg,Town,Hampshire,1852,34736,64545,82317,2482,1118
Williamstown,Town,Berkshire,4373,35832,63045,89397,7754,2542
Wilmington,Town,Middlesex,15159,35935,94900,102345,22325,7532
Winchendon,Town,Worcester,6180,24059,58582,69701,10300,3810
Winchester,Town,Middlesex,15072,63347,121572,162211,21374,7645
Windsor,Town,Berkshire,663,31819,74750,95208,899,369
Winthrop,City,Suffolk,11103,34927,67535,80459,17497,7783
Woburn,City,Middlesex,24907,33163,71060,84538,38120,15524
Worcester,City,Worcester,99564,24326,45036,56053,181045,68613
Worthington,Town,Hampshire,896,32754,61100,71188,1156,522
Wrentham,Town,Norfolk,7686,44454,94406,113099,10955,3703
Yarmouth,Town,Barnstable,17817,31794,48653,62196,23793,11229
