City/Town,PVI_N,PVI,Biden_20,Trump_20,Clinton_16,Trump_16
Mansfield,9.337460067536076,D+9,9024,5149,6879,5073
Marblehead,19.19142738143824,D+19,10128,3790,8111,3759
Marion,12.236781641484518,D+12,2369,1244,1861,1159
Marlborough,14.2509212984688,D+14,12610,6100,10577,5959
Marshfield,2.090981731046082,D+2,9671,7498,7343,7215
Mashpee,5.28848654038222,D+5,5982,4086,4448,3839
Mattapoisett,5.162151923618808,D+5,2730,1888,2125,1820
Maynard,20.939002041412348,D+21,4942,1672,3860,1671
Medfield,16.318749359349916,D+16,5668,2374,4409,2400
Medford,22.82271468703727,D+23,23495,7566,20690,7671
Medway,9.091841348093189,D+9,5156,3004,4009,2948
Melrose,20.06878336704201,D+20,13213,4646,10687,4832
Mendon,-0.6223160374629555,R+1,2067,1774,1530,1694
Merrimac,5.504907355198996,D+6,2549,1725,1895,1622
Methuen,3.351537998390497,D+3,14328,11127,11662,10235
Middleborough,-6.726370465187981,R+7,6324,7164,4837,6583
Middlefield,8.161191479463103,D+8,199,124,155,115
Middleton,-4.880604581991799,R+5,2764,2966,2159,2663
Milford,8.313527997966974,D+8,8700,5544,7370,5237
Millbury,-0.9370001167576912,R+1,4196,3739,3162,3445
Millis,9.605250122283094,D+10,3502,2001,2620,1890
Millville,-7.680942470745061,R+8,821,976,624,874
Milton,21.48040949002541,D+21,12862,4441,10752,4286
Monroe,-3.353449023373012,R+3,28,31,25,26
Monson,-4.134290536715879,R+4,2446,2588,1922,2259
Montague,21.910149653399312,D+22,3520,1211,2858,1095
Monterey,31.001497500691155,D+31,481,102,417,88
Montgomery,-8.664361617522598,R+9,246,312,199,281
Mount Washington,32.03280791217969,D+32,102,16,76,19
N. Adams,19.94728047383004,D+20,4216,1600,3730,1570
N. Andover,8.60336495747055,D+9,11022,6548,8499,6391
N. Attleborough,3.4027013044163223,D+3,9724,7050,7059,6716
N. Brookfield,-9.438493011642809,R+9,1181,1459,907,1413
N. Reading,3.378477925582324,D+3,5585,4116,4283,3986
Nahant,12.027312888785737,D+12,1629,842,1347,864
Nantucket,19.6161009445852,D+20,5241,1914,4146,1892
Natick,23.608073453039214,D+24,16330,4971,13420,4870
Needham,26.26109663060555,D+26,15573,4078,12797,4019
New Ashford,18.04515237522839,D+18,98,48,101,39
New Bedford,12.835239143286705,D+13,21267,12964,20812,10327
New Braintree,-5.525495218220511,R+6,319,337,246,326
New Marlborough,20.506496135876095,D+21,678,264,564,218
New Salem,11.412276508380826,D+11,419,237,337,208
Newbury,10.219389468455889,D+10,3138,1754,2465,1716
Newburyport,20.75320772517092,D+21,9224,3253,7385,3114
Newton,31.22136177513847,D+31,40907,8357,36463,7764
Norfolk,6.855993966606222,D+7,4100,2570,2956,2458
Northampton,37.11615858674655,D+37,15649,1855,13512,1878
Northborough,14.849220582945854,D+15,6476,2913,5130,2964
Northbridge,-1.7674558890479697,R+2,4720,4244,3425,3977
Northfield,14.872615744943174,D+15,1211,592,1013,533
Norton,1.8004427153628932,D+2,5918,4735,4555,4428
Norwell,5.260229980549891,D+5,4291,2920,3277,2837
Norwood,12.168716657642896,D+12,11212,5824,9000,5692
Oak Bluffs,23.94084372030162,D+24,2420,730,2098,738
Oakham,-8.271925122951473,R+8,554,664,435,633
Orange,0.11651850909452088,EVEN,1984,1699,1487,1550
Orleans,15.269294512161224,D+15,3288,1458,2687,1511
Otis,2.1005993885758967,D+2,550,441,431,407
Oxford,-5.205394416771836,R+5,3593,3765,2744,3576
Palmer,-4.642944006803823,R+5,3108,3240,2475,3083
Paxton,1.9816100341073173,D+2,1625,1268,1213,1197
Peabody,4.282216498710945,D+4,16860,12704,14395,12036
Pelham,37.80338729879968,D+38,819,89,748,98
Pembroke,-0.03860371615401759,EVEN,6174,5263,4630,4913
Pepperell,0.36491594499196145,EVEN,3869,3205,2932,3098
Peru,5.168929314767867,D+5,299,216,255,207
Petersham,8.350664353744165,D+8,528,321,417,312
Phillipston,-9.501199068918648,R+10,465,607,374,550
Pittsfield,24.05514652083689,D+24,16404,5017,13907,4771
Plainfield,20.659246510519537,D+21,316,116,263,107
Plainville,2.001185460750043,D+2,3196,2474,2216,2223
Plymouth,4.048263377208661,D+4,21266,15152,15602,14309
