City/Town,PVI_N,PVI
Monson,-2.690854529470438,R+3
Montague,23.9871208545103,D+24
Monterey,30.362971542362626,D+30
Montgomery,-8.51678671237805,R+9
Mount Washington,29.17539269328596,D+29
N. Adams,23.531142980757323,D+24
N. Andover,0.3575613738543981,EVEN
N. Attleborough,-2.192096429592849,R+2
N. Brookfield,-9.373337833959495,R+9
N. Reading,-2.5885216430610147,R+3
Nahant,9.160695319903612,D+9
Nantucket,14.628150463825818,D+15
Natick,16.746072039239955,D+17
Needham,17.08228783878496,D+17
New Ashford,20.938600390627627,D+21
New Bedford,20.506583221758234,D+21
New Braintree,-3.9162195861435767,R+4
New Marlborough,19.749999252489058,D+20
New Salem,11.948375588796434,D+12
Newbury,3.92182234704761,D+4
Newburyport,14.858252180461552,D+15
Newton,25.953430805658716,D+26
Norfolk,-2.766036435960423,R+3
Northampton,35.29616868725473,D+35
Northborough,6.665209247071957,D+7
Northbridge,-5.600525295589698,R+6
Northfield,16.34352067359669,D+16
Norton,-1.1305783969299599,R+1
Norwell,-3.6061314618347162,R+4
Norwood,7.2551544075799885,D+7
Oak Bluffs,21.07676636024355,D+21
Oakham,-8.351369675456516,R+8
Orange,1.9436971961033,D+2
Orleans,8.63080360555728,D+9
Otis,4.596520470220645,D+5
Oxford,-5.347526234225736,R+5
Palmer,-1.797853224749324,R+2
Paxton,-3.802424067936289,R+4
Peabody,3.8942731113121964,D+4
Pelham,34.98290395541842,D+35
Pembroke,-3.5633848828792947,R+4
Pepperell,-4.182136152899391,R+4
Peru,11.262997436891231,D+11
Petersham,5.645233453570331,D+6
Phillipston,-6.408719009176117,R+6
Pittsfield,25.464967273614526,D+25
Plainfield,22.789057119133126,D+23
Plainville,-2.6764049365412546,R+3
Plymouth,0.29610224565010945,EVEN
Plympton,-6.143700940130953,R+6
Princeton,1.3531102401482809,D+1
Provincetown,39.419071682495456,D+39
Quincy,12.576737075227163,D+13
Randolph,25.99851657859259,D+26
Raynham,-4.800092724351973,R+5
Reading,6.042409701103891,D+6
Rehoboth,-6.020449727756894,R+6
Revere,13.299415192942988,D+13
Richmond,24.408637864927474,D+24
Rochester,-7.302942338664742,R+7
Rockland,0.2961080539656824,EVEN
Rockport,15.204291071651143,D+15
Rowe,6.301377386420281,D+6
Rowley,-4.876198961851685,R+5
Royalston,2.9890947437647197,D+3
Russell,-8.062682348794326,R+8
Rutland,-4.835164617706866,R+5
S. Hadley,10.455182363874727,D+10
Salem,20.322903814991,D+20
Salisbury,-0.4262314825668634,EVEN
Sandisfield,9.899710373284144,D+10
Sandwich,-2.557192140159609,R+3
Saugus,-2.4886958813921445,R+2
Savoy,9.969797917818934,D+10
Scituate,2.8246752615473936,D+3
Seekonk,0.1611180026073189,EVEN
Sharon,17.743446039342615,D+18
Sheffield,19.496701387069038,D+19
Shelburne,27.255430469227417,D+27
Sherborn,12.606650275374886,D+13
Shirley,0.7248048550773989,D+1
Shrewsbury,6.0802522790008755,D+6
Shutesbury,35.54192273409762,D+36
Somerset,5.646824203244916,D+6
Somerville,35.87779873900343,D+36
Southampton,0.8443033113497256,D+1
Southborough,6.50500125118465,D+7
Southbridge,10.565827600306132,D+11
Southwick,-10.99388574906176,R+11
Spencer,-5.960211193241976,R+6
Springfield,27.9411192193624,D+28
Sterling,-5.842058266158867,R+6
Stockbridge,28.44798237604834,D+28
Stoneham,4.188927001255161,D+4
Stoughton,9.644765286316703,D+10
Stow,10.51425473646117,D+11
Sturbridge,-1.391802279891896,R+1
Sudbury,14.70885965463653,D+15
Sunderland,25.92912025919627,D+26
Sutton,-8.58269539490395,R+9
