city_town,ward,precinct,State_Rep,State_Senate,Gov_Council,US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24
Taunton,4,B,Twelfth Bristol,Third Bristol & Plymouth,First,4,936.8762715102764,736.5396797989173,784.2922287642906,672.1157009322865,949,837
Taunton,4,B1,Fifth Bristol,Third Bristol & Plymouth,First,4,31.73996714228739,24.952862983841825,26.570647937107974,22.77027491476204,12,24
Taunton,5,A,Third Bristol,Third Bristol & Plymouth,First,4,877,520,705,458,690,621
Taunton,5,B,Third Bristol,Third Bristol & Plymouth,First,4,835,502,694,393,749,522
Taunton,6,A,Fifth Bristol,Third Bristol & Plymouth,First,4,733.0812605034992,515.4862670668796,616.6295828699949,436.9193414880898,675,587
Taunton,6,B,Fifth Bristol,Third Bristol & Plymouth,First,4,864.9516539440203,618.0763358778626,763.7150127226463,518.6157760814249,828,756
Taunton,7,A,Third Bristol,Third Bristol & Plymouth,First,4,1013,808,876,733,915,919
Taunton,7,B,Third Bristol,Third Bristol & Plymouth,First,4,1043,1048,817,922,978,1192
Taunton,8,A,Third Bristol,Third Bristol & Plymouth,First,4,1073,880,856,836,1120,1028
Taunton,8,B,Third Bristol,Third Bristol & Plymouth,First,4,1139,949,907,882,1042,1021
Templeton,-,A,Second Worcester,Worcester & Hampshire,Seventh,2,765,888,550,768,720,982
Templeton,-,B,Second Worcester,Worcester & Hampshire,Seventh,2,675.1688359985125,754.748977314987,512.4648568240982,721.2093715135738,591,864
Templeton,-,C,Second Worcester,Worcester & Hampshire,Seventh,2,620.8311640014875,646.251022685013,458.5351431759018,578.7906284864262,572,737
Tewksbury,-,1,Seventeenth Middlesex,Second Essex and Middlesex,Fifth,6,1163.0877993158497,975.9543899657924,925.5039908779931,987.0228050171038,1010,971
Tewksbury,-,2,Nineteenth Middlesex,Second Essex and Middlesex,Fifth,6,1281.180770725661,1136.446945032755,1009.4566260392578,1133.8415386634333,1176,1207
Tewksbury,-,3,Eighteenth Essex,Second Essex and Middlesex,Fifth,6,1257.2261747047228,1050.9381886588455,954.772167862129,1054.1175134528642,1069,1166
Tewksbury,-,4,Nineteenth Middlesex,Second Essex and Middlesex,Fifth,6,1172.359925788497,1027.491651205937,854.9016697588127,920.1818181818182,1098,1042
Tewksbury,-,5,Nineteenth Middlesex,Second Essex and Middlesex,Fifth,6,1065.098544378366,976.568436898768,803.5336530584881,941.8465434756978,1046,1021
Tewksbury,-,5A,Eighteenth Essex,Second Essex and Middlesex,Fifth,6,184.8933223220918,169.52514274487896,139.4875690101531,163.4976758347144,198,136
